phi,theta
0.035249,-21.707
0.035249,-21.7
0.035249,-21.692
0.035249,-21.685
0.035249,-21.678
0.035249,-21.671
0.035249,-21.663
0.035249,-21.656
0.035249,-21.649
0.035249,-21.642
0.035249,-21.634
0.035249,-21.627
0.035249,-21.62
0.035249,-21.612
0.035249,-21.605
0.035249,-21.598
0.035249,-21.59
0.035249,-21.583
0.035249,-21.576
0.035249,-21.568
0.03525,-21.561
0.03525,-21.554
0.03525,-21.546
0.03525,-21.539
0.03525,-21.532
0.03525,-21.524
0.03525,-21.517
0.03525,-21.51
0.03525,-21.502
0.03525,-21.495
0.03525,-21.487
0.03525,-21.48
0.03525,-21.472
0.03525,-21.465
0.03525,-21.458
0.03525,-21.45
0.03525,-21.443
0.03525,-21.435
0.03525,-21.428
0.03525,-21.42
0.03525,-21.413
0.03525,-21.405
0.03525,-21.398
0.03525,-21.39
0.03525,-21.383
0.03525,-21.375
0.03525,-21.368
0.03525,-21.36
0.03525,-21.353
0.03525,-21.345
0.03525,-21.338
0.03525,-21.33
0.03525,-21.323
0.03525,-21.315
0.03525,-21.308
0.03525,-21.3
0.03525,-21.293
0.03525,-21.285
0.035251,-21.277
0.035251,-21.27
0.035251,-21.262
0.035251,-21.255
0.035251,-21.247
0.035251,-21.24
0.035251,-21.232
0.035251,-21.224
0.035251,-21.217
0.035251,-21.209
0.035251,-21.201
0.035251,-21.194
0.035251,-21.186
0.035251,-21.178
0.035251,-21.171
0.035251,-21.163
0.035251,-21.155
0.035251,-21.148
0.035251,-21.14
0.035251,-21.132
0.035251,-21.125
0.035251,-21.117
0.035251,-21.109
0.035251,-21.102
0.035251,-21.094
0.035251,-21.086
0.035251,-21.078
0.035251,-21.071
0.035251,-21.063
0.035251,-21.055
0.035251,-21.047
0.035251,-21.04
0.035251,-21.032
0.035251,-21.024
0.035251,-21.016
0.035251,-21.009
0.035251,-21.001
0.035251,-20.993
0.035251,-20.985
0.035252,-20.977
0.035252,-20.97
0.035252,-20.962
0.035252,-20.954
0.035252,-20.946
0.035252,-20.938
0.035252,-20.93
0.035252,-20.922
0.035252,-20.915
0.035252,-20.907
0.035252,-20.899
0.035252,-20.891
0.035252,-20.883
0.035252,-20.875
0.035252,-20.867
0.035252,-20.859
0.035252,-20.852
0.035252,-20.844
0.035252,-20.836
0.035252,-20.828
0.035252,-20.82
0.035252,-20.812
0.035252,-20.804
0.035252,-20.796
0.035252,-20.788
0.035252,-20.78
0.035252,-20.772
0.035252,-20.764
0.035252,-20.756
0.035252,-20.748
0.035252,-20.74
0.035252,-20.732
0.035252,-20.724
0.035252,-20.716
0.035252,-20.708
0.035252,-20.7
0.035252,-20.692
0.035252,-20.684
0.035252,-20.676
0.035253,-20.668
0.035253,-20.66
0.035253,-20.652
0.035253,-20.644
0.035253,-20.636
0.035253,-20.628
0.035253,-20.62
0.035253,-20.611
0.035253,-20.603
0.035253,-20.595
0.035253,-20.587
0.035253,-20.579
0.035253,-20.571
0.035253,-20.563
0.035253,-20.555
0.035253,-20.547
0.035253,-20.538
0.035253,-20.53
0.035253,-20.522
0.035253,-20.514
0.035253,-20.506
0.035253,-20.498
0.035253,-20.489
0.035253,-20.481
0.035253,-20.473
0.035253,-20.465
0.035253,-20.457
0.035253,-20.448
0.035253,-20.44
0.035253,-20.432
0.035253,-20.424
0.035253,-20.416
0.035253,-20.407
0.035253,-20.399
0.035253,-20.391
0.035253,-20.383
0.035253,-20.374
0.035253,-20.366
0.035254,-20.358
0.035254,-20.349
0.035254,-20.341
0.035254,-20.333
0.035254,-20.325
0.035254,-20.316
0.035254,-20.308
0.035254,-20.3
0.035254,-20.291
0.035254,-20.283
0.035254,-20.275
0.035254,-20.266
0.035254,-20.258
0.035254,-20.25
0.035254,-20.241
0.035254,-20.233
0.035254,-20.224
0.035254,-20.216
0.035254,-20.208
0.035254,-20.199
0.035254,-20.191
0.035254,-20.183
0.035254,-20.174
0.035254,-20.166
0.035254,-20.157
0.035254,-20.149
0.035254,-20.14
0.035254,-20.132
0.035254,-20.124
0.035254,-20.115
0.035254,-20.107
0.035254,-20.098
0.035254,-20.09
0.035254,-20.081
0.035254,-20.073
0.035254,-20.064
0.035254,-20.056
0.035254,-20.047
0.035254,-20.039
0.035255,-20.03
0.035255,-20.022
0.035255,-20.013
0.035255,-20.005
0.035255,-19.996
0.035255,-19.988
0.035255,-19.979
0.035255,-19.97
0.035255,-19.962
0.035255,-19.953
0.035255,-19.945
0.035255,-19.936
0.035255,-19.928
0.035255,-19.919
0.035255,-19.91
0.035255,-19.902
0.035255,-19.893
0.035255,-19.885
0.035255,-19.876
0.035255,-19.867
0.035255,-19.859
0.035255,-19.85
0.035255,-19.841
0.035255,-19.833
0.035255,-19.824
0.035255,-19.815
0.035255,-19.807
0.035255,-19.798
0.035255,-19.789
0.035255,-19.781
0.035255,-19.772
0.035255,-19.763
0.035255,-19.755
0.035255,-19.746
0.035255,-19.737
0.035255,-19.728
0.035255,-19.72
0.035255,-19.711
0.035256,-19.702
0.035256,-19.694
0.035256,-19.685
0.035256,-19.676
0.035256,-19.667
0.035256,-19.658
0.035256,-19.65
0.035256,-19.641
0.035256,-19.632
0.035256,-19.623
0.035256,-19.614
0.035256,-19.606
0.035256,-19.597
0.035256,-19.588
0.035256,-19.579
0.035256,-19.57
0.035256,-19.562
0.035256,-19.553
0.035256,-19.544
0.035256,-19.535
0.035256,-19.526
0.035256,-19.517
0.035256,-19.508
0.035256,-19.5
0.035256,-19.491
0.035256,-19.482
0.035256,-19.473
0.035256,-19.464
0.035256,-19.455
0.035256,-19.446
0.035256,-19.437
0.035256,-19.428
0.035256,-19.419
0.035256,-19.41
0.035256,-19.401
0.035256,-19.392
0.035256,-19.384
0.035256,-19.375
0.035256,-19.366
0.035257,-19.357
0.035257,-19.348
0.035257,-19.339
0.035257,-19.33
0.035257,-19.321
0.035257,-19.312
0.035257,-19.303
0.035257,-19.294
0.035257,-19.285
0.035257,-19.276
0.035257,-19.266
0.035257,-19.257
0.035257,-19.248
0.035257,-19.239
0.035257,-19.23
0.035257,-19.221
0.035257,-19.212
0.035257,-19.203
0.035257,-19.194
0.035257,-19.185
0.035257,-19.176
0.035257,-19.167
0.035257,-19.158
0.035257,-19.148
0.035257,-19.139
0.035257,-19.13
0.035257,-19.121
0.035257,-19.112
0.035257,-19.103
0.035257,-19.094
0.035257,-19.084
0.035257,-19.075
0.035257,-19.066
0.035257,-19.057
